x;y
1.01;1825
1.02;1743
1.03;1760
1.04;1863
1.05;1991
1.06;2179
1.07;2371
1.08;1965
1.09;1861
1.1;1730
1.11;1935
1.12;1869
1.13;1987
1.14;1910
1.15;1860
1.16;1804
1.17;1659
1.18;1615
1.19;1533
1.2;1777
1.21;1648
1.22;1771
1.23;1714
1.24;1930
1.25;1803
1.26;1755
1.27;1587
1.28;1686
1.29;1695
1.3;1832
1.31;1777
1.32;1704
1.33;1590
1.34;1614
1.35;1673
1.36;1828
1.37;1653
1.38;1629
1.39;1624
1.4;1479
1.41;1732
1.42;1735
1.43;1679
1.44;1609
1.45;1513
1.46;1913
1.47;1600
1.48;1487
1.49;1523
1.5;1390
1.51;1492
1.52;1413
1.53;1388
1.54;1555
1.55;1565
1.56;1505
1.57;1699
1.58;1473
1.59;1547
1.6;1543
1.61;1425
1.62;1528
1.63;1406
1.64;1486
1.65;1707
1.66;1530
1.67;1550
1.68;1535
1.69;1514
1.7;1509
1.71;1494
1.72;1702
1.73;1937
1.74;1626
1.75;1633
1.76;1730
1.77;1938
1.78;1866
1.79;1493
1.8;1736
1.81;1400
1.82;1712
1.83;1577
1.84;1477
1.85;1596
1.86;1558
1.87;1432
1.88;1638
1.89;1668
1.9;1609
1.91;1485
1.92;1550
1.93;1672
1.94;1520
1.95;1578
1.96;1477
1.97;1604
1.98;1398
1.99;1470
2;1442
2.01;1701
2.02;1683
2.03;1662
2.04;1472
2.05;1789
2.06;1527
2.07;1506
2.08;1525
2.09;1790
2.1;1673
2.11;1600
2.12;1613
2.13;1653
2.14;1791
2.15;1781
2.16;1567
2.17;1456
2.18;1804
2.19;1522
2.2;1618
2.21;1568
2.22;1611
2.23;1879
2.24;1973
2.25;1961
2.26;1832
2.27;1732
2.28;2037
2.29;1346
2.3;1731
2.31;1793
2.32;1783
2.33;1816
2.34;1553
2.35;1700
2.36;1767
2.37;1919
2.38;2074
2.39;2189
2.4;1996
2.41;1963
2.42;1793
2.43;2082
2.44;1805
2.45;1903
2.46;1757
2.47;1884
2.48;1925
2.49;1837
2.5;2138
2.51;2105
2.52;1993
2.53;1866
2.54;2636
2.55;1866
2.56;1883
2.57;1981
2.58;2012
2.59;1714
2.6;1907
2.61;2250
2.62;2262
2.63;2033
2.64;2087
2.65;1992
2.66;2127
2.67;1889
2.68;2081
2.69;1920
2.7;1923
2.71;1895
2.72;1768
2.73;1909
2.74;1879
2.75;2082
2.76;2100
2.77;1961
2.78;1816
2.79;1961
2.8;2032
2.81;1773
2.82;1451
2.83;1655
2.84;1751
2.85;1710
2.86;1746
2.87;1860
2.88;2100
2.89;1780
2.9;1851
2.91;1669
2.92;1833
2.93;1538
2.94;1486
2.95;1958
2.96;1671
2.97;1435
2.98;1424
2.99;1546
3;1624
3.01;1668
3.02;1652
3.03;1503
3.04;1464
3.05;1570
3.06;1285
3.07;1374
3.08;1575
3.09;1556
3.1;1464
3.11;1512
3.12;1424
3.13;1535
3.14;1516
3.15;1444
3.16;1539
3.17;1467
3.18;1176
3.19;1351
3.2;1272
3.21;1348
3.22;1331
3.23;1381
3.24;1315
3.25;1311
3.26;1213
3.27;1481
3.28;1415
3.29;1285
3.3;1063
3.31;1129
3.32;1233
3.33;1205
3.34;1349
3.35;1318
3.36;1287
3.37;1143
3.38;1295
3.39;1209
3.4;1105
3.41;1238
3.42;1074
3.43;1104
3.44;1114
3.45;1228
3.46;1214
3.47;1342
3.48;1327
3.49;1200
3.5;1231
3.51;1100
3.52;1499
3.53;1268
3.54;1320
3.55;1349
3.56;1458
3.57;1393
3.58;1322
3.59;1493
3.6;1283
3.61;1026
3.62;1289
3.63;1155
3.64;1447
3.65;1124
3.66;1282
3.67;1273
3.68;1339
3.69;1515
3.7;1477
3.71;1554
3.72;1385
3.73;1273
3.74;1392
3.75;1325
3.76;1329
3.77;1267
3.78;1161
3.79;1353
3.8;1375
3.81;1416
3.82;1413
3.83;1498
3.84;1414
3.85;1358
3.86;1271
3.87;1461
3.88;1525
